FHRSID,BusinessType,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude,Easting,Northing
293988,Pub/bar/nightclub,5,2024-07-25,City of London Corporation,0.0,0.0,0.0,-0.0791260004043579,51.515739440918,533380.3330414062,181394.7781260697
690316,Retailers - other,5,2024-02-20,City of London Corporation,0.0,0.0,5.0,-0.083405,51.51269,533092.3384617134,181047.88508811715
1431180,Retailers - supermarkets/hypermarkets,5,2023-12-28,City of London Corporation,0.0,0.0,0.0,-0.11346,51.518114,530991.3912494943,181596.84673175705
1592851,Retailers - supermarkets/hypermarkets,5,2023-02-02,City of London Corporation,0.0,0.0,0.0,-0.085493,51.5124,532948.3057243192,181011.84194446594
1618751,Restaurant/Cafe/Canteen,5,2024-02-09,City of London Corporation,5.0,0.0,5.0,-0.109347,51.514415,531287.3739158668,181192.87878233514
295134,Retailers - other,5,2020-01-22,City of London Corporation,0.0,0.0,5.0,-0.105429,51.51401,531560.384653626,181154.87157282402
294528,Takeaway/sandwich shop,4,2024-04-17,City of London Corporation,5.0,10.0,5.0,-0.0821018,51.5180923,533167.0093524777,181650.99918957875
1580600,Takeaway/sandwich shop,5,2022-12-15,City of London Corporation,5.0,5.0,5.0,-0.0821018,51.5180923,533167.0093524777,181650.99918957875
294031,Hotel/bed & breakfast/guest house,5,2024-01-09,City of London Corporation,5.0,5.0,5.0,-0.081234,51.517358,533229.3570426203,181570.92373542406
1649528,Pub/bar/nightclub,2,2023-07-31,City of London Corporation,15.0,10.0,10.0,-0.102525,51.513837,531762.3748676017,181140.8531684538
1618758,Restaurant/Cafe/Canteen,5,2023-06-01,City of London Corporation,5.0,5.0,5.0,-0.085332,51.51452,532953.3060598508,181247.88099199446
1731460,Restaurant/Cafe/Canteen,5,2024-08-27,City of London Corporation,0.0,0.0,0.0,-0.0874139964580536,51.5150413513184,532807.3352538878,181302.07741924783
376316,Hotel/bed & breakfast/guest house,5,2022-10-12,City of London Corporation,5.0,0.0,5.0,-0.108648,51.513549,531338.3628146704,181097.83218517667
624704,Restaurant/Cafe/Canteen,5,2023-01-04,City of London Corporation,5.0,5.0,5.0,-0.099909,51.519217,531928.3434024089,181743.82153347915
1498017,Restaurant/Cafe/Canteen,5,2024-05-03,City of London Corporation,5.0,5.0,5.0,-0.082274,51.511143,533175.3233315363,180877.91430591454
294254,Restaurant/Cafe/Canteen,5,2023-12-04,City of London Corporation,0.0,5.0,0.0,-0.105873,51.512003,531535.3568777841,180930.8953474089
1734278,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.084846,51.517857,532977.3098658611,181619.84264865448
1018964,Restaurant/Cafe/Canteen,5,2020-01-06,City of London Corporation,5.0,5.0,0.0,-0.082274,51.511143,533175.3233315363,180877.91430591454
1618756,Restaurant/Cafe/Canteen,5,2023-07-05,City of London Corporation,5.0,5.0,5.0,-0.083734,51.5125166,533070.0158322984,181028.00446191005
294150,Restaurant/Cafe/Canteen,5,2024-01-11,City of London Corporation,5.0,5.0,0.0,-0.084103,51.5153,533036.3054389005,181336.85129956686
1368067,Takeaway/sandwich shop,4,2022-11-03,City of London Corporation,5.0,5.0,10.0,-0.102181,51.513805,531786.3353751365,181137.91355096846
579928,Restaurant/Cafe/Canteen,5,2023-02-01,City of London Corporation,5.0,5.0,5.0,-0.098635,51.514512,532030.3280461312,181222.919665978
1101368,Restaurant/Cafe/Canteen,5,2022-11-01,City of London Corporation,5.0,5.0,0.0,-0.094086,51.515076,532344.3171165788,181293.84935631522
294598,Restaurant/Cafe/Canteen,5,2024-03-28,City of London Corporation,0.0,5.0,0.0,-0.093002,51.51514,532419.3417642617,181302.9261373313
1735318,Restaurant/Cafe/Canteen,5,2024-09-12,City of London Corporation,,,,-0.1109203,51.5179666,531168.0135339645,181585.00018048042
418843,Takeaway/sandwich shop,5,2023-11-09,City of London Corporation,5.0,5.0,5.0,-0.081269,51.509679,533249.3281793875,180716.94505700172
1222549,Restaurant/Cafe/Canteen,5,2024-07-09,City of London Corporation,5.0,0.0,5.0,-0.094209,51.512101,532344.4021068681,180962.80507652537
1649537,Restaurant/Cafe/Canteen,4,2023-11-07,City of London Corporation,10.0,5.0,5.0,-0.103744,51.513983,531677.3745764878,181154.896565205
905161,Takeaway/sandwich shop,3,2023-10-19,City of London Corporation,10.0,10.0,10.0,-0.082572,51.516408,533139.2983942323,181462.8470208104
991447,Takeaway/sandwich shop,5,2023-08-08,City of London Corporation,5.0,5.0,5.0,-0.102713,51.517976,531737.3928783328,181600.7730676387
846230,Restaurant/Cafe/Canteen,5,2022-01-28,City of London Corporation,5.0,0.0,5.0,-0.1030621,51.5142247,531723.9906040952,181182.99957090092
295201,Pub/bar/nightclub,5,2022-03-31,City of London Corporation,0.0,5.0,5.0,-0.078622,51.517782,533409.3342219102,181622.83233812876
1622567,Restaurant/Cafe/Canteen,5,2023-06-13,City of London Corporation,5.0,0.0,5.0,-0.094704,51.51648,532297.3723385991,181448.8582041706
1743775,Takeaway/sandwich shop,5,2023-05-03,City of London Corporation,0.0,0.0,0.0,-0.092445,51.51951,532445.3141476433,181789.88192110648
1618761,Restaurant/Cafe/Canteen,5,2023-05-05,City of London Corporation,0.0,0.0,0.0,-0.0908649,51.5198271,532554.0135283961,181828.00395672233
1753158,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.084602,51.510947,533014.3595180229,180851.88486080192
1538283,Restaurant/Cafe/Canteen,5,2022-08-17,City of London Corporation,5.0,0.0,5.0,-0.078407,51.52116,533414.3806259467,181998.86284253624
1297523,Takeaway/sandwich shop,5,2020-10-28,City of London Corporation,5.0,5.0,5.0,-0.083405,51.51269,533092.3384617134,181047.88508811715
1453372,Restaurant/Cafe/Canteen,5,2021-11-18,City of London Corporation,0.0,0.0,0.0,-0.07505,51.511573,533675.3213083444,180938.90207008418
1620507,Takeaway/sandwich shop,5,2023-06-19,City of London Corporation,5.0,5.0,5.0,-0.083405,51.51269,533092.3384617134,181047.88508811715
1727194,Retailers - other,5,2024-05-20,City of London Corporation,5.0,0.0,5.0,-0.086216,51.513015,532896.3502814316,181078.91833223077
1606297,Pub/bar/nightclub,5,2023-03-23,City of London Corporation,5.0,5.0,5.0,-0.081858,51.520344,533177.356369935,181901.83521651558
1697362,Restaurant/Cafe/Canteen,4,2024-02-07,City of London Corporation,,,,-0.094065,51.513493,532350.3607065093,181117.85663730587
1533587,Pub/bar/nightclub,5,2022-07-25,City of London Corporation,5.0,5.0,5.0,-0.100557,51.518877,531884.3697219403,181704.84561169293
294086,Pub/bar/nightclub,2,2024-04-10,City of London Corporation,15.0,15.0,10.0,-0.081063,51.510817,533260.3027921157,180843.86719952128
293626,Pub/bar/nightclub,4,2023-08-16,City of London Corporation,5.0,10.0,5.0,-0.08531,51.515716,532951.3510812392,181380.91772074415
564578,Restaurant/Cafe/Canteen,5,2023-03-28,City of London Corporation,5.0,5.0,5.0,-0.084706,51.512945,533001.3256583898,181073.87602289853
653551,Restaurant/Cafe/Canteen,5,2022-03-30,City of London Corporation,5.0,5.0,5.0,-0.08713,51.513218,532832.3418903776,181099.83378120675
1761507,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.0918729,51.5123923,532505.6513097957,180999.42228509585
1604303,Restaurant/Cafe/Canteen,2,2024-06-12,City of London Corporation,,,,-0.088931,51.511845,532711.3685371911,180943.88929338928
1409460,Restaurant/Cafe/Canteen,5,2021-06-03,City of London Corporation,5.0,0.0,5.0,-0.084159,51.519789,533019.344280334,181835.9325919454
1224036,Restaurant/Cafe/Canteen,5,2020-01-21,City of London Corporation,5.0,5.0,5.0,-0.084159,51.519789,533019.344280334,181835.9325919454
1560138,Restaurant/Cafe/Canteen,5,2023-06-21,City of London Corporation,0.0,0.0,0.0,-0.093931,51.519822,532341.3183462964,181821.8890068545
1024659,Pub/bar/nightclub,5,2023-09-22,City of London Corporation,0.0,5.0,5.0,-0.093931,51.519822,532341.3183462964,181821.8890068545
1620398,Restaurant/Cafe/Canteen,5,2023-07-14,City of London Corporation,,,,-0.0928808,51.5210993,532410.4720578508,181965.8254328054
1376482,Retailers - other,5,2023-10-13,City of London Corporation,0.0,0.0,0.0,-0.09738,51.522495,532094.3124658668,182112.89912592078
293942,Retailers - other,5,2023-08-23,City of London Corporation,5.0,5.0,5.0,-0.09738,51.522495,532094.3124658668,182112.89912592078
1297517,Restaurant/Cafe/Canteen,5,2023-05-10,City of London Corporation,5.0,5.0,5.0,-0.09291,51.517774,532418.0881847588,181595.99558735924
294209,Restaurant/Cafe/Canteen,2,2023-03-15,City of London Corporation,15.0,10.0,10.0,-0.075911,51.515076,533605.332499452,181326.86785550765
1055956,Restaurant/Cafe/Canteen,5,2023-02-27,City of London Corporation,5.0,5.0,5.0,-0.102839,51.51565,531735.3595909597,181341.8943957875
1669330,Restaurant/Cafe/Canteen,5,2023-11-01,City of London Corporation,0.0,0.0,0.0,-0.0956266,51.5152194,532237.0119015638,181307.01194856258
1433988,Restaurant/Cafe/Canteen,5,2021-11-02,City of London Corporation,5.0,5.0,5.0,-0.096052,51.517356,532201.3126074689,181543.8349270912
1606300,Restaurant/Cafe/Canteen,5,2023-03-29,City of London Corporation,0.0,0.0,5.0,-0.110933,51.514405,531177.3604519407,181188.9256301736
1649542,Restaurant/Cafe/Canteen,5,2023-09-13,City of London Corporation,0.0,0.0,0.0,-0.087295,51.512367,532823.3678593074,181004.90231241257
1710122,Restaurant/Cafe/Canteen,5,2024-03-27,City of London Corporation,5.0,0.0,0.0,-0.086,51.509908,532920.3778008912,180733.8082028759
1414728,Restaurant/Cafe/Canteen,5,2023-11-14,City of London Corporation,5.0,5.0,5.0,-0.1121,51.5165,531090.3773450796,181419.80172793375
1055958,Restaurant/Cafe/Canteen,5,2024-01-02,City of London Corporation,5.0,5.0,0.0,-0.105745,51.517846,531527.4131126862,181580.86875977274
1756311,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.09523,51.513548,532269.3684692287,181121.867637181
1756314,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.082725003361702,51.5168800354004,533127.3071493945,181515.05962071684
1059326,Restaurant/Cafe/Canteen,5,2023-04-24,City of London Corporation,5.0,5.0,0.0,-0.085332,51.51452,532953.3060598508,181247.88099199446
940230,Restaurant/Cafe/Canteen,5,2024-01-11,City of London Corporation,5.0,5.0,5.0,-0.090164,51.512,532625.3643344465,180958.8917140342
767749,Restaurant/Cafe/Canteen,5,2024-07-11,City of London Corporation,0.0,5.0,0.0,-0.080611,51.510936,533291.3190134112,180857.92333111254
1136181,Restaurant/Cafe/Canteen,5,2024-05-23,City of London Corporation,,,,-0.0969529219619375,51.5129346996789,532151.5986790467,181050.55757693417
1055957,Restaurant/Cafe/Canteen,5,2023-09-06,City of London Corporation,0.0,0.0,0.0,-0.108295,51.517536,531351.3901157234,181541.82120130444
940228,Restaurant/Cafe/Canteen,5,2023-09-11,City of London Corporation,0.0,5.0,0.0,-0.094596,51.510795,532321.3322391219,180816.87778021465
1204841,Restaurant/Cafe/Canteen,5,2024-04-12,City of London Corporation,0.0,0.0,0.0,-0.077415,51.512907,533507.3221661934,181082.92714629066
295264,Restaurant/Cafe/Canteen,5,2023-09-06,City of London Corporation,5.0,0.0,0.0,-0.100896,51.516976,531866.3395947332,181492.84242322348
1523640,Takeaway/sandwich shop,5,2024-03-18,City of London Corporation,5.0,5.0,5.0,-0.079732,51.511272,533351.3301855932,180896.88834571093
671528,Restaurant/Cafe/Canteen,5,2019-03-27,City of London Corporation,0.0,0.0,0.0,-0.095403,51.512526,532260.3239371737,181007.9081773706
1745762,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.088209,51.517732,532744.3558483473,181599.8389411033
1437618,Restaurant/Cafe/Canteen,5,2024-01-04,City of London Corporation,5.0,5.0,5.0,-0.098831,51.514982,532015.3706366305,181274.83042316884
1669326,Restaurant/Cafe/Canteen,5,2023-12-18,City of London Corporation,5.0,5.0,5.0,-0.0886202,51.5141829,532726.1407837761,181204.42950411089
1669327,Restaurant/Cafe/Canteen,5,2023-12-18,City of London Corporation,0.0,5.0,0.0,-0.089238,51.515195,532680.3357379308,181315.85638787202
1684434,Restaurant/Cafe/Canteen,5,2024-06-20,City of London Corporation,5.0,0.0,0.0,-0.0891013,51.5182032,532681.0808905993,181650.61934388865
1717138,Restaurant/Cafe/Canteen,5,2024-05-21,City of London Corporation,5.0,5.0,5.0,-0.0951903,51.5160036,532265.0124004718,181395.0035638432
1561652,Restaurant/Cafe/Canteen,5,2024-04-15,City of London Corporation,0.0,0.0,0.0,-0.0940729975700378,51.515064239502,532345.2533273902,181292.56508328667
1561650,Restaurant/Cafe/Canteen,5,2022-10-21,City of London Corporation,5.0,5.0,5.0,-0.096052,51.517356,532201.3126074689,181543.8349270912
1698589,Restaurant/Cafe/Canteen,5,2024-03-22,City of London Corporation,0.0,0.0,0.0,-0.080611,51.510936,533291.3190134112,180857.92333111254
1618762,Restaurant/Cafe/Canteen,5,2024-04-25,City of London Corporation,0.0,0.0,0.0,-0.093353,51.511566,532405.347725273,180904.8600274166
1717137,Retailers - other,5,2024-03-22,City of London Corporation,0.0,0.0,0.0,-0.0824872,51.5105248,533162.3319304792,180808.781710507
1521729,Restaurant/Cafe/Canteen,5,2024-04-29,City of London Corporation,0.0,0.0,0.0,-0.080051,51.510872,533330.3630730336,180851.82658688218
1703211,Restaurant/Cafe/Canteen,5,2024-02-13,City of London Corporation,5.0,5.0,0.0,-0.0815000000109752,51.5109000000004,533229.7380966924,180852.3012280219
744863,Restaurant/Cafe/Canteen,5,2023-06-05,City of London Corporation,0.0,0.0,0.0,-0.106531,51.51142,531491.3781909549,180864.8843354559
928538,Restaurant/Cafe/Canteen,5,2024-03-06,City of London Corporation,,,,-0.109229996800423,51.5151596069336,531293.3517939377,181275.8890825212
1474059,Restaurant/Cafe/Canteen,5,2022-02-22,City of London Corporation,5.0,0.0,5.0,-0.0898,51.509692,532657.3230930506,180702.89925397834
1018962,Restaurant/Cafe/Canteen,5,2020-01-23,City of London Corporation,5.0,5.0,5.0,-0.086257,51.518573,532877.3345089252,181696.9006432966
1134941,Restaurant/Cafe/Canteen,5,2022-06-17,City of London Corporation,5.0,0.0,0.0,-0.0812739,51.5124134,533241.0123315222,181021.00491410925
1690255,Restaurant/Cafe/Canteen,5,2024-01-09,City of London Corporation,5.0,5.0,0.0,-0.0871220007538795,51.5106468200684,532840.3737987529,180813.93015695998
1561653,Restaurant/Cafe/Canteen,5,2022-07-26,City of London Corporation,0.0,5.0,5.0,-0.089608,51.519437,532642.3437424251,181786.90117195557
452001,Restaurant/Cafe/Canteen,5,2022-04-28,City of London Corporation,0.0,0.0,0.0,-0.080109,51.5137252,533318.0110024185,181169.0004658709
1031794,Restaurant/Cafe/Canteen,5,2023-10-02,City of London Corporation,5.0,0.0,0.0,-0.103662,51.516994,531674.3841376924,181489.86787415197
294809,Restaurant/Cafe/Canteen,5,2022-09-09,City of London Corporation,5.0,0.0,0.0,-0.077019,51.51478,533529.3230002002,181291.92978067673
1031798,Restaurant/Cafe/Canteen,5,2022-06-22,City of London Corporation,0.0,0.0,0.0,-0.08504,51.516323,532968.3167871463,181448.907275162
653534,Restaurant/Cafe/Canteen,5,2024-01-08,City of London Corporation,0.0,0.0,0.0,-0.097774,51.517528,532081.3452125476,181559.8532354546
1197868,Restaurant/Cafe/Canteen,5,2023-02-10,City of London Corporation,5.0,5.0,0.0,-0.1060845,51.516376,531508.0915578322,181416.7945336849
294448,Restaurant/Cafe/Canteen,5,2023-07-03,City of London Corporation,5.0,0.0,5.0,-0.098763,51.512805,532026.3805017258,181032.86989692866
911662,Restaurant/Cafe/Canteen,5,2024-10-17,City of London Corporation,0.0,0.0,0.0,-0.08359,51.518924,533061.3388987221,181740.77795949485
1451692,Restaurant/Cafe/Canteen,5,2022-02-10,City of London Corporation,5.0,5.0,0.0,-0.103096,51.516059,531716.3491391921,181386.91316157317
591028,Restaurant/Cafe/Canteen,5,2023-07-27,City of London Corporation,0.0,5.0,0.0,-0.084797,51.514215,532991.3139028971,181214.9363134252
295136,Restaurant/Cafe/Canteen,5,2024-01-10,City of London Corporation,5.0,5.0,0.0,-0.09051,51.51098,532604.3172958578,180844.84024448483
430552,Restaurant/Cafe/Canteen,5,2023-04-27,City of London Corporation,0.0,0.0,0.0,-0.089685,51.517954,532641.3091840802,181621.85022611194
1021848,Other catering premises,5,2024-02-22,City of London Corporation,5.0,5.0,0.0,-0.082274,51.511143,533175.3233315363,180877.91430591454
894015,Restaurant/Cafe/Canteen,5,2023-11-21,City of London Corporation,5.0,5.0,5.0,-0.08359,51.518924,533061.3388987221,181740.77795949485
719087,Restaurant/Cafe/Canteen,5,2022-10-24,City of London Corporation,0.0,5.0,0.0,-0.084345,51.511572,533030.3721144455,180921.8528236291
1743770,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.0800996,51.513305,533319.889663545,181122.29079662764
295104,Pub/bar/nightclub,5,2023-07-14,City of London Corporation,5.0,5.0,0.0,-0.087122,51.510646,532840.3762357447,180813.83896580536
1138841,Pub/bar/nightclub,5,2019-04-11,City of London Corporation,0.0,0.0,0.0,-0.084028,51.515695,533040.3584681433,181380.91219477606
1656949,Restaurant/Cafe/Canteen,4,2023-09-18,City of London Corporation,5.0,5.0,10.0,-0.075996,51.513063,533605.3230973233,181102.86438631086
1197870,Other catering premises,5,2022-11-03,City of London Corporation,0.0,0.0,5.0,-0.092141,51.518138,532470.3839759552,181637.86406437802
720404,Takeaway/sandwich shop,5,2023-08-15,City of London Corporation,5.0,0.0,5.0,-0.08359,51.518925,533061.3359848544,181740.8891609325
1629736,Restaurant/Cafe/Canteen,4,2024-07-02,City of London Corporation,,,,-0.0760149,51.5157983,533596.0109967142,181406.998889283
1583544,Takeaway/sandwich shop,5,2023-01-27,City of London Corporation,5.0,5.0,5.0,-0.084706,51.512945,533001.3256583898,181073.87602289853
295181,Pub/bar/nightclub,5,2023-08-31,City of London Corporation,0.0,5.0,5.0,-0.083804,51.512454,533065.3411982218,181020.91597142827
293783,Restaurant/Cafe/Canteen,5,2023-11-17,City of London Corporation,0.0,0.0,0.0,0.5700393,51.541166,578319.2420971941,185603.98842330114
1130829,Restaurant/Cafe/Canteen,5,2021-10-06,City of London Corporation,0.0,0.0,0.0,-0.09625,51.512593,532201.360075084,181013.82917695353
1113073,Restaurant/Cafe/Canteen,5,2019-05-07,City of London Corporation,0.0,0.0,0.0,-0.0874139964580536,51.5150413513184,532807.3352538878,181302.07741924783
1765095,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.079384,51.520915,533347.3192803108,181969.83738132555
1150095,Restaurant/Cafe/Canteen,5,2023-03-17,City of London Corporation,0.0,0.0,0.0,-0.1060845,51.516376,531508.0915578322,181416.7945336849
1577094,Takeaway/sandwich shop,5,2022-12-01,City of London Corporation,5.0,0.0,5.0,-0.08359,51.518924,533061.3388987221,181740.77795949485
1589777,Takeaway/sandwich shop,5,2022-12-01,City of London Corporation,0.0,5.0,0.0,-0.091122,51.520109,532535.3591179294,181858.88603029493
1723089,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.098052,51.514471,532070.8968780043,181219.41186734132
1498016,Restaurant/Cafe/Canteen,5,2022-01-24,City of London Corporation,5.0,0.0,0.0,-0.0898,51.509692,532657.3230930506,180702.89925397834
846237,Restaurant/Cafe/Canteen,5,2023-10-13,City of London Corporation,0.0,5.0,0.0,-0.093931,51.519822,532341.3183462964,181821.8890068545
294583,Restaurant/Cafe/Canteen,5,2022-10-25,City of London Corporation,0.0,0.0,5.0,-0.108547,51.515976,531338.3922905348,181367.8966364896
1151379,Restaurant/Cafe/Canteen,5,2024-07-24,City of London Corporation,,,,-0.09523,51.513548,532269.3684692287,181121.867637181
294271,Restaurant/Cafe/Canteen,2,2023-10-25,City of London Corporation,10.0,15.0,10.0,-0.101784,51.5178,531802.3529303117,181582.8728164817
1604307,Takeaway/sandwich shop,5,2023-12-06,City of London Corporation,5.0,5.0,0.0,-0.078622,51.517783,533409.3313005287,181622.94353954447
771813,Takeaway/sandwich shop,5,2019-09-26,City of London Corporation,5.0,5.0,5.0,-0.083405,51.51269,533092.3384617134,181047.88508811715
1106418,Restaurant/Cafe/Canteen,5,2021-07-13,City of London Corporation,0.0,5.0,0.0,-0.089243,51.511976,532689.3392732494,180957.89126217435
1753150,Restaurant/Cafe/Canteen,AwaitingInspection,,City of London Corporation,,,,-0.078352,51.517014,533430.31004481,181537.921984028
878523,Restaurant/Cafe/Canteen,2,2023-10-16,City of London Corporation,10.0,15.0,10.0,0.0464361,51.5041475,542128.0115062124,180342.00182192336
433637,Takeaway/sandwich shop,5,2023-04-12,City of London Corporation,5.0,0.0,0.0,-0.108547,51.515975,531338.3951658972,181367.78543606802
543147,Takeaway/sandwich shop,5,2020-11-25,City of London Corporation,5.0,5.0,0.0,-0.08367,51.51666,533062.3853341539,181488.87247771164
1036432,Restaurant/Cafe/Canteen,5,2024-07-18,City of London Corporation,5.0,5.0,5.0,-0.30624494,51.6147915,517367.1949087804,192020.75234872958
803156,Takeaway/sandwich shop,5,2024-08-01,City of London Corporation,5.0,5.0,0.0,-0.090164,51.512,532625.3643344465,180958.8917140342
294277,Pub/bar/nightclub,5,2023-03-29,City of London Corporation,5.0,5.0,0.0,-0.101943,51.518495,531789.3163354544,181659.87123946688
1703212,Restaurant/Cafe/Canteen,5,2022-03-09,City of London Corporation,5.0,5.0,0.0,-0.079643,51.517835,533338.3450016925,181626.86492598424
865732,Restaurant/Cafe/Canteen,5,2023-01-24,City of London Corporation,0.0,0.0,5.0,-0.094704,51.51648,532297.3723385991,181448.8582041706
1427981,Takeaway/sandwich shop,5,2021-11-17,City of London Corporation,5.0,5.0,5.0,-0.080446,51.518622,533280.3379373661,181712.91742612486
1717139,Restaurant/Cafe/Canteen,5,2024-04-11,City of London Corporation,5.0,0.0,5.0,-0.10907,51.5142678,531307.016261322,181177.00654214586
1182377,Takeaway/sandwich shop,5,2023-08-30,City of London Corporation,0.0,5.0,0.0,-0.0953282,51.5140814,532261.0104940151,181181.0046491729
1180801,Restaurant/Cafe/Canteen,5,2023-06-09,City of London Corporation,0.0,5.0,0.0,-0.112169,51.517986,531081.3254359413,181584.92234265967
1041559,Restaurant/Cafe/Canteen,5,2024-07-11,City of London Corporation,0.0,5.0,0.0,-0.083852,51.510738,533067.0093089181,180830.00727694255
927056,Restaurant/Cafe/Canteen,5,2023-06-15,City of London Corporation,0.0,5.0,0.0,-0.0904430001974106,51.5153312683105,532596.3349788061,181328.82660317578
1676737,Takeaway/sandwich shop,5,2023-11-15,City of London Corporation,0.0,0.0,0.0,-0.087105,51.516572,532824.322729763,181472.84792116313
1297518,Restaurant/Cafe/Canteen,5,2020-08-12,City of London Corporation,0.0,5.0,0.0,-0.075639,51.514352,533626.3224187775,181246.85475669202
1204838,Restaurant/Cafe/Canteen,5,2024-05-20,City of London Corporation,0.0,0.0,0.0,-0.082306,51.5137662,533165.4554103456,181169.55933187262
986861,Restaurant/Cafe/Canteen,5,2019-07-11,City of London Corporation,5.0,5.0,5.0,-0.084366001188755,51.5110778808594,533030.353857087,180866.86796288652
1629735,Restaurant/Cafe/Canteen,5,2023-08-02,City of London Corporation,0.0,5.0,0.0,-0.0835427,51.516731,533071.0104499063,181496.99927860586
1545432,Restaurant/Cafe/Canteen,5,2022-09-05,City of London Corporation,5.0,0.0,0.0,-0.104815,51.513892,531603.3264021999,181142.85278985702
1660748,Restaurant/Cafe/Canteen,5,2023-11-01,City of London Corporation,5.0,5.0,5.0,-0.0957711,51.5145203,532229.0099671459,181229.01066120464
1012589,Takeaway/sandwich shop,4,2024-08-05,City of London Corporation,5.0,10.0,5.0,-0.0915345,51.5122224,532529.62451194,180981.1416359783
1651222,Restaurant/Cafe/Canteen,5,2023-11-15,City of London Corporation,0.0,5.0,0.0,-0.084159,51.519789,533019.344280334,181835.9325919454
1414724,Restaurant/Cafe/Canteen,5,2021-07-13,City of London Corporation,0.0,5.0,5.0,-0.0834123,51.5178849,533076.6950448416,181625.55173155788
1523639,Restaurant/Cafe/Canteen,5,2022-05-13,City of London Corporation,5.0,0.0,5.0,-0.091657,51.515243,532512.3617145298,181316.8132168746
1130830,Restaurant/Cafe/Canteen,5,2024-01-11,City of London Corporation,5.0,5.0,5.0,-0.090164,51.512,532625.3643344465,180958.8917140342
